Source,Target,Type,Label
pro1M,pro2M,Undirected,Gleiche Gruppe
pro1M,pro3M,Undirected,Gleiche Gruppe
pro1M,pro4M,Undirected,Gleiche Gruppe
pro1M,pro5M,Undirected,Gleiche Gruppe
pro1M,pro6M,Undirected,Gleiche Gruppe
pro1M,werk1,Undirected,Semester 1
pro2M,pro3M,Undirected,Gleiche Gruppe
pro2M,pro4M,Undirected,Gleiche Gruppe
pro2M,pro5M,Undirected,Gleiche Gruppe
pro2M,pro6M,Undirected,Gleiche Gruppe
pro2M,wus,Undirected,Semester 2
pro2M,wch,Undirected,Semester 2
pro2M,werk2,Undirected,Semester 2
pro2M,stk,Undirected,Semester 2
pro2M,thdM,Undirected,Semester 2
pro3M,pro4M,Undirected,Gleiche Gruppe
pro3M,pro5M,Undirected,Gleiche Gruppe
pro3M,pro6M,Undirected,Gleiche Gruppe
pro3M,wst,Undirected,Semester 3
pro3M,werk3,Undirected,Semester 3
stk,pro3M,Directed,Voraussetzung
stk,wus,Undirected,Semester 2
stk,wch,Undirected,Semester 2
stk,werk2,Undirected,Semester 2
stk,thdM,Undirected,Semester 2
elstk,pro3M,Undirected,Semester 3
elstk,kmk,Undirected,Semester 3
elstk,md,Undirected,Gleiche Gruppe
elstk,stk,Undirected,Gleiche Gruppe
elstk,wst,Undirected,Semester 3
elstk,werk3,Undirected,Semester 3
elstk,phwkL,Undirected,Semester 3
elstk,flmM,Undirected,Semester 3
elstk,eltM,Undirected,Semester 3
elstk,enwi,Undirected,Semester 3
elstk,mlam,Undirected,Semester 3
elstk,mata,Undirected,Semester 3
elstk,mimo,Undirected,Semester 3
elstk,npe,Undirected,Semester 3
kmk,pro3M,Undirected,Semester 3
kmk,md,Undirected,Gleiche Gruppe
kmk,stk,Undirected,Gleiche Gruppe
kmk,wst,Undirected,Semester 3
kmk,werk3,Undirected,Semester 3
kmk,phwkL,Undirected,Semester 3
kmk,mlam,Undirected,Semester 3
kmk,mata,Undirected,Semester 3
kmk,mimo,Undirected,Semester 3
kmk,npe,Undirected,Semester 3
pro4M,pro5M,Undirected,Gleiche Gruppe
pro4M,pro6M,Undirected,Gleiche Gruppe
pro4M,sww,Undirected,Semester 4
pro4M,wkwkL,Undirected,Semester 4
fems,pro4M,Undirected,Semester 4
fems,mst,Undirected,Semester 4
fems,phwkL,Undirected,Gleiche Gruppe
fems,wkwkL,Undirected,Semester 4
fems,man,Undirected,Semester 4
fems,num,Undirected,Semester 4
fems,sww,Undirected,Semester 4
fems,md,Undirected,Semester 4
cfds,pro4M,Undirected,Semester 4
cfds,chkL,Undirected,Gleiche Gruppe
cfds,fems,Undirected,Semester 4
cfds,mst,Undirected,Semester 4
cfds,phwkL,Undirected,Gleiche Gruppe
cfds,wkwkL,Undirected,Semester 4
cfds,man,Undirected,Semester 4
cfds,num,Undirected,Semester 4
cfds,sww,Undirected,Semester 4
cfds,md,Undirected,Semester 4
cfds,dms,Undirected,Semester 4
cfds,egts,Undirected,Semester 4
pro5M,pro6M,Undirected,Gleiche Gruppe
pro5M,rtL,Undirected,Semester 5
pro5M,wueb,Undirected,Semester 5
pro5M,thd3,Undirected,Semester 5
pro5M,waem,Undirected,Semester 5
pro5M,veva,Undirected,Semester 5
pro6M,thd4,Undirected,Semester 6
pro6M,vmo,Undirected,Semester 6
pro6M,tamp,Undirected,Semester 6
afems,amp,Undirected,Semester 6
afems,asimv,Undirected,Semester 6
afems,c2ad,Undirected,Semester 6
afems,cich,Undirected,Gleiche Gruppe
afems,dsf,Undirected,Gleiche Gruppe
afems,eeww,Undirected,Gleiche Gruppe
afems,ekt,Undirected,Gleiche Gruppe
afems,enwi,Undirected,Gleiche Gruppe
afems,fkte,Undirected,Gleiche Gruppe
afems,idacu,Undirected,Semester 6
afems,labvM,Undirected,Gleiche Gruppe
afems,mantL,Undirected,Semester 6
afems,mata,Undirected,Gleiche Gruppe
afems,matl,Undirected,Gleiche Gruppe
afems,meas1,Undirected,Gleiche Gruppe
afems,mimo,Undirected,Gleiche Gruppe
afems,minat,Undirected,Gleiche Gruppe
afems,mlam,Undirected,Gleiche Gruppe
afems,naku,Undirected,Gleiche Gruppe
afems,npe,Undirected,Gleiche Gruppe
afems,tamp,Undirected,Semester 6
afems,veva,Undirected,Gleiche Gruppe
afems,vmo,Undirected,Semester 6
afems,waem,Undirected,Gleiche Gruppe
afems,thd4,Undirected,Semester 6
afems,flm4,Undirected,Semester 6
afems,kt2,Undirected,Semester 6
afems,dpev2,Undirected,Semester 6
afems,amat,Undirected,Semester 6
afems,mant2,Undirected,Semester 6
afems,pro6M,Undirected,Semester 6
amp,asimv,Undirected,Semester 6
amp,c2ad,Undirected,Semester 6
amp,cich,Undirected,Gleiche Gruppe
amp,dsf,Undirected,Gleiche Gruppe
amp,eeww,Undirected,Gleiche Gruppe
amp,ekt,Undirected,Gleiche Gruppe
amp,enwi,Undirected,Gleiche Gruppe
amp,fkte,Undirected,Gleiche Gruppe
amp,idacu,Undirected,Semester 6
amp,labvM,Undirected,Gleiche Gruppe
amp,mantL,Undirected,Semester 6
amp,mata,Undirected,Gleiche Gruppe
amp,matl,Undirected,Gleiche Gruppe
amp,meas1,Undirected,Gleiche Gruppe
amp,mimo,Undirected,Gleiche Gruppe
amp,minat,Undirected,Gleiche Gruppe
amp,mlam,Undirected,Gleiche Gruppe
amp,naku,Undirected,Gleiche Gruppe
amp,npe,Undirected,Gleiche Gruppe
amp,tamp,Undirected,Semester 6
amp,veva,Undirected,Gleiche Gruppe
amp,vmo,Undirected,Semester 6
amp,waem,Undirected,Gleiche Gruppe
amp,thd4,Undirected,Semester 6
amp,flm4,Undirected,Semester 6
amp,kt2,Undirected,Semester 6
amp,dpev2,Undirected,Semester 6
amp,mant2,Undirected,Semester 6
amp,pro6M,Undirected,Semester 6
asimv,c2ad,Undirected,Semester 6
asimv,cich,Undirected,Gleiche Gruppe
asimv,dsf,Undirected,Gleiche Gruppe
asimv,eeww,Undirected,Gleiche Gruppe
asimv,ekt,Undirected,Gleiche Gruppe
asimv,enwi,Undirected,Gleiche Gruppe
asimv,fkte,Undirected,Gleiche Gruppe
asimv,idacu,Undirected,Semester 6
asimv,labvM,Undirected,Gleiche Gruppe
asimv,mantL,Undirected,Semester 6
asimv,mata,Undirected,Gleiche Gruppe
asimv,matl,Undirected,Gleiche Gruppe
asimv,meas1,Undirected,Gleiche Gruppe
asimv,mimo,Undirected,Gleiche Gruppe
asimv,minat,Undirected,Gleiche Gruppe
asimv,mlam,Undirected,Gleiche Gruppe
asimv,naku,Undirected,Gleiche Gruppe
asimv,npe,Undirected,Gleiche Gruppe
asimv,tamp,Undirected,Semester 6
asimv,veva,Undirected,Gleiche Gruppe
asimv,vmo,Undirected,Semester 6
asimv,waem,Undirected,Gleiche Gruppe
asimv,thd4,Undirected,Semester 6
asimv,flm4,Undirected,Semester 6
asimv,kt2,Undirected,Semester 6
asimv,dpev2,Undirected,Semester 6
asimv,mant2,Undirected,Semester 6
asimv,pro6M,Undirected,Semester 6
c2ad,cich,Undirected,Gleiche Gruppe
c2ad,dsf,Undirected,Gleiche Gruppe
c2ad,eeww,Undirected,Gleiche Gruppe
c2ad,ekt,Undirected,Gleiche Gruppe
c2ad,enwi,Undirected,Gleiche Gruppe
c2ad,fkte,Undirected,Gleiche Gruppe
c2ad,idacu,Undirected,Semester 6
c2ad,labvM,Undirected,Gleiche Gruppe
c2ad,mantL,Undirected,Semester 6
c2ad,mata,Undirected,Gleiche Gruppe
c2ad,matl,Undirected,Gleiche Gruppe
c2ad,meas1,Undirected,Gleiche Gruppe
c2ad,mimo,Undirected,Gleiche Gruppe
c2ad,minat,Undirected,Gleiche Gruppe
c2ad,mlam,Undirected,Gleiche Gruppe
c2ad,naku,Undirected,Gleiche Gruppe
c2ad,npe,Undirected,Gleiche Gruppe
c2ad,tamp,Undirected,Semester 6
c2ad,veva,Undirected,Gleiche Gruppe
c2ad,vmo,Undirected,Semester 6
c2ad,waem,Undirected,Gleiche Gruppe
c2ad,thd4,Undirected,Semester 6
c2ad,flm4,Undirected,Semester 6
c2ad,kt2,Undirected,Semester 6
c2ad,dpev2,Undirected,Semester 6
c2ad,mant2,Undirected,Semester 6
c2ad,pro6M,Undirected,Semester 6
cich,dsf,Undirected,Semester 3
cich,eeww,Undirected,Semester 5
cich,ekt,Undirected,Semester 5
cich,enwi,Undirected,Semester 3
cich,fkte,Undirected,Semester 5
cich,idacu,Undirected,Gleiche Gruppe
cich,labvM,Undirected,Semester 5
cich,mantL,Undirected,Gleiche Gruppe
cich,mata,Undirected,Semester 3
cich,matl,Undirected,Semester 5
cich,meas1,Undirected,Semester 5
cich,mimo,Undirected,Semester 3
cich,minat,Undirected,Semester 5
cich,mlam,Undirected,Semester 3
cich,naku,Undirected,Semester 5
cich,npe,Undirected,Semester 3
cich,tamp,Undirected,Gleiche Gruppe
cich,veva,Undirected,Semester 5
cich,vmo,Undirected,Gleiche Gruppe
cich,waem,Undirected,Semester 5
cich,wst,Undirected,Semester 3
cich,dglM,Undirected,Semester 3
cich,elmag,Undirected,Semester 3
cich,werk3,Undirected,Semester 3
cich,phwkL,Undirected,Semester 3
cich,elstk,Undirected,Semester 3
cich,kmk,Undirected,Semester 3
cich,flmM,Undirected,Semester 3
cich,eltM,Undirected,Semester 3
cich,pro3M,Undirected,Semester 3
cich,dan,Undirected,Semester 5
cich,rtL,Undirected,Semester 5
cich,wueb,Undirected,Semester 5
cich,thd3,Undirected,Semester 5
cich,flm3,Undirected,Semester 5
cich,dpev1,Undirected,Semester 5
cich,kt1,Undirected,Semester 5
cich,mant1,Undirected,Semester 5
cich,mea,Undirected,Semester 5
cich,pro5M,Undirected,Semester 5
dsf,eeww,Undirected,Semester 5
dsf,ekt,Undirected,Semester 5
dsf,enwi,Undirected,Semester 3
dsf,fkte,Undirected,Semester 5
dsf,idacu,Undirected,Gleiche Gruppe
dsf,labvM,Undirected,Semester 5
dsf,mantL,Undirected,Gleiche Gruppe
dsf,mata,Undirected,Semester 3
dsf,matl,Undirected,Semester 5
dsf,meas1,Undirected,Semester 5
dsf,mimo,Undirected,Semester 3
dsf,minat,Undirected,Semester 5
dsf,mlam,Undirected,Semester 3
dsf,naku,Undirected,Semester 5
dsf,npe,Undirected,Semester 3
dsf,tamp,Undirected,Gleiche Gruppe
dsf,veva,Undirected,Semester 5
dsf,vmo,Undirected,Gleiche Gruppe
dsf,waem,Undirected,Semester 5
dsf,wst,Undirected,Semester 3
dsf,elmag,Undirected,Semester 3
dsf,werk3,Undirected,Semester 3
dsf,phwkL,Undirected,Semester 3
dsf,elstk,Undirected,Semester 3
dsf,kmk,Undirected,Semester 3
dsf,flmM,Undirected,Semester 3
dsf,eltM,Undirected,Semester 3
dsf,pro3M,Undirected,Semester 3
dsf,rtL,Undirected,Semester 5
dsf,wueb,Undirected,Semester 5
dsf,thd3,Undirected,Semester 5
dsf,flm3,Undirected,Semester 5
dsf,kt1,Undirected,Semester 5
dsf,mant1,Undirected,Semester 5
dsf,mea,Undirected,Semester 5
dsf,pro5M,Undirected,Semester 5
eeww,ekt,Undirected,Semester 5
eeww,enwi,Undirected,Gleiche Gruppe
eeww,fkte,Undirected,Semester 5
eeww,idacu,Undirected,Gleiche Gruppe
eeww,labvM,Undirected,Semester 5
eeww,mantL,Undirected,Gleiche Gruppe
eeww,mata,Undirected,Gleiche Gruppe
eeww,matl,Undirected,Semester 5
eeww,meas1,Undirected,Semester 5
eeww,mimo,Undirected,Gleiche Gruppe
eeww,minat,Undirected,Semester 5
eeww,mlam,Undirected,Gleiche Gruppe
eeww,naku,Undirected,Semester 5
eeww,npe,Undirected,Gleiche Gruppe
eeww,tamp,Undirected,Gleiche Gruppe
eeww,veva,Undirected,Semester 5
eeww,vmo,Undirected,Gleiche Gruppe
eeww,waem,Undirected,Semester 5
eeww,rtL,Undirected,Semester 5
eeww,wueb,Undirected,Semester 5
eeww,thd3,Undirected,Semester 5
eeww,flm3,Undirected,Semester 5
eeww,kt1,Undirected,Semester 5
eeww,mant1,Undirected,Semester 5
eeww,mea,Undirected,Semester 5
eeww,pro5M,Undirected,Semester 5
ekt,enwi,Undirected,Gleiche Gruppe
ekt,fkte,Undirected,Semester 5
ekt,idacu,Undirected,Gleiche Gruppe
ekt,labvM,Undirected,Semester 5
ekt,mantL,Undirected,Gleiche Gruppe
ekt,mata,Undirected,Gleiche Gruppe
ekt,matl,Undirected,Semester 5
ekt,meas1,Undirected,Semester 5
ekt,mimo,Undirected,Gleiche Gruppe
ekt,minat,Undirected,Semester 5
ekt,mlam,Undirected,Gleiche Gruppe
ekt,naku,Undirected,Semester 5
ekt,npe,Undirected,Gleiche Gruppe
ekt,tamp,Undirected,Gleiche Gruppe
ekt,veva,Undirected,Semester 5
ekt,vmo,Undirected,Gleiche Gruppe
ekt,waem,Undirected,Semester 5
ekt,rtL,Undirected,Semester 5
ekt,wueb,Undirected,Semester 5
ekt,thd3,Undirected,Semester 5
ekt,flm3,Undirected,Semester 5
ekt,kt1,Undirected,Semester 5
ekt,mant1,Undirected,Semester 5
ekt,mea,Undirected,Semester 5
ekt,pro5M,Undirected,Semester 5
enwi,fkte,Undirected,Semester 5
enwi,idacu,Undirected,Gleiche Gruppe
enwi,labvM,Undirected,Semester 5
enwi,mantL,Undirected,Gleiche Gruppe
enwi,mata,Undirected,Semester 3
enwi,matl,Undirected,Semester 5
enwi,meas1,Undirected,Semester 5
enwi,mimo,Undirected,Semester 3
enwi,minat,Undirected,Semester 5
enwi,mlam,Undirected,Semester 3
enwi,naku,Undirected,Semester 5
enwi,npe,Undirected,Semester 3
enwi,tamp,Undirected,Gleiche Gruppe
enwi,veva,Undirected,Semester 5
enwi,vmo,Undirected,Gleiche Gruppe
enwi,waem,Undirected,Semester 5
enwi,wst,Undirected,Semester 3
enwi,werk3,Undirected,Semester 3
enwi,phwkL,Undirected,Semester 3
enwi,kmk,Undirected,Semester 3
enwi,flmM,Undirected,Semester 3
enwi,pro3M,Undirected,Semester 3
enwi,rtL,Undirected,Semester 5
enwi,wueb,Undirected,Semester 5
enwi,thd3,Undirected,Semester 5
enwi,flm3,Undirected,Semester 5
enwi,kt1,Undirected,Semester 5
enwi,mant1,Undirected,Semester 5
enwi,mea,Undirected,Semester 5
enwi,pro5M,Undirected,Semester 5
fkte,idacu,Undirected,Gleiche Gruppe
fkte,labvM,Undirected,Semester 5
fkte,mantL,Undirected,Gleiche Gruppe
fkte,mata,Undirected,Gleiche Gruppe
fkte,matl,Undirected,Semester 5
fkte,meas1,Undirected,Semester 5
fkte,mimo,Undirected,Gleiche Gruppe
fkte,minat,Undirected,Semester 5
fkte,mlam,Undirected,Gleiche Gruppe
fkte,naku,Undirected,Semester 5
fkte,npe,Undirected,Gleiche Gruppe
fkte,tamp,Undirected,Gleiche Gruppe
fkte,veva,Undirected,Semester 5
fkte,vmo,Undirected,Gleiche Gruppe
fkte,waem,Undirected,Semester 5
fkte,rtL,Undirected,Semester 5
fkte,wueb,Undirected,Semester 5
fkte,thd3,Undirected,Semester 5
fkte,flm3,Undirected,Semester 5
fkte,kt1,Undirected,Semester 5
fkte,mant1,Undirected,Semester 5
fkte,mea,Undirected,Semester 5
fkte,pro5M,Undirected,Semester 5
idacu,labvM,Undirected,Gleiche Gruppe
idacu,mantL,Undirected,Semester 6
idacu,mata,Undirected,Gleiche Gruppe
idacu,matl,Undirected,Gleiche Gruppe
idacu,meas1,Undirected,Gleiche Gruppe
idacu,mimo,Undirected,Gleiche Gruppe
idacu,minat,Undirected,Gleiche Gruppe
idacu,mlam,Undirected,Gleiche Gruppe
idacu,naku,Undirected,Gleiche Gruppe
idacu,npe,Undirected,Gleiche Gruppe
idacu,tamp,Undirected,Semester 6
idacu,veva,Undirected,Gleiche Gruppe
idacu,vmo,Undirected,Semester 6
idacu,waem,Undirected,Gleiche Gruppe
idacu,thd4,Undirected,Semester 6
idacu,kt2,Undirected,Semester 6
idacu,mant2,Undirected,Semester 6
idacu,pro6M,Undirected,Semester 6
labvM,mantL,Undirected,Gleiche Gruppe
labvM,mata,Undirected,Gleiche Gruppe
labvM,matl,Undirected,Semester 5
labvM,meas1,Undirected,Semester 5
labvM,mimo,Undirected,Gleiche Gruppe
labvM,minat,Undirected,Semester 5
labvM,mlam,Undirected,Gleiche Gruppe
labvM,naku,Undirected,Semester 5
labvM,npe,Undirected,Gleiche Gruppe
labvM,tamp,Undirected,Gleiche Gruppe
labvM,veva,Undirected,Semester 5
labvM,vmo,Undirected,Gleiche Gruppe
labvM,waem,Undirected,Semester 5
labvM,rtL,Undirected,Semester 5
labvM,wueb,Undirected,Semester 5
labvM,thd3,Undirected,Semester 5
labvM,mant1,Undirected,Semester 5
labvM,mea,Undirected,Semester 5
labvM,pro5M,Undirected,Semester 5
mantL,mata,Undirected,Gleiche Gruppe
mantL,matl,Undirected,Gleiche Gruppe
mantL,meas1,Undirected,Gleiche Gruppe
mantL,mimo,Undirected,Gleiche Gruppe
mantL,minat,Undirected,Gleiche Gruppe
mantL,mlam,Undirected,Gleiche Gruppe
mantL,naku,Undirected,Gleiche Gruppe
mantL,npe,Undirected,Gleiche Gruppe
mantL,tamp,Undirected,Semester 6
mantL,veva,Undirected,Gleiche Gruppe
mantL,vmo,Undirected,Semester 6
mantL,waem,Undirected,Gleiche Gruppe
mantL,thd4,Undirected,Semester 6
mantL,pro6M,Undirected,Semester 6
mata,matl,Undirected,Semester 5
mata,meas1,Undirected,Semester 5
mata,mimo,Undirected,Semester 3
mata,minat,Undirected,Semester 5
mata,mlam,Undirected,Semester 3
mata,naku,Undirected,Semester 5
mata,npe,Undirected,Semester 3
mata,tamp,Undirected,Gleiche Gruppe
mata,veva,Undirected,Semester 5
mata,vmo,Undirected,Gleiche Gruppe
mata,waem,Undirected,Semester 5
mata,wst,Undirected,Semester 3
mata,werk3,Undirected,Semester 3
mata,phwkL,Undirected,Semester 3
mata,pro3M,Undirected,Semester 3
mata,rtL,Undirected,Semester 5
mata,wueb,Undirected,Semester 5
mata,thd3,Undirected,Semester 5
mata,mea,Undirected,Semester 5
mata,pro5M,Undirected,Semester 5
matl,meas1,Undirected,Semester 5
matl,mimo,Undirected,Gleiche Gruppe
matl,minat,Undirected,Semester 5
matl,mlam,Undirected,Gleiche Gruppe
matl,naku,Undirected,Semester 5
matl,npe,Undirected,Gleiche Gruppe
matl,tamp,Undirected,Gleiche Gruppe
matl,veva,Undirected,Semester 5
matl,vmo,Undirected,Gleiche Gruppe
matl,waem,Undirected,Semester 5
matl,rtL,Undirected,Semester 5
matl,wueb,Undirected,Semester 5
matl,thd3,Undirected,Semester 5
matl,mea,Undirected,Semester 5
matl,pro5M,Undirected,Semester 5
meas1,mimo,Undirected,Gleiche Gruppe
meas1,minat,Undirected,Semester 5
meas1,mlam,Undirected,Gleiche Gruppe
meas1,naku,Undirected,Semester 5
meas1,npe,Undirected,Gleiche Gruppe
meas1,tamp,Undirected,Gleiche Gruppe
meas1,veva,Undirected,Semester 5
meas1,vmo,Undirected,Gleiche Gruppe
meas1,waem,Undirected,Semester 5
meas1,rtL,Undirected,Semester 5
meas1,wueb,Undirected,Semester 5
meas1,thd3,Undirected,Semester 5
meas1,pro5M,Undirected,Semester 5
mimo,minat,Undirected,Semester 5
mimo,mlam,Undirected,Semester 3
mimo,naku,Undirected,Semester 5
mimo,npe,Undirected,Semester 3
mimo,tamp,Undirected,Gleiche Gruppe
mimo,veva,Undirected,Semester 5
mimo,vmo,Undirected,Gleiche Gruppe
mimo,waem,Undirected,Semester 5
mimo,wst,Undirected,Semester 3
mimo,werk3,Undirected,Semester 3
mimo,phwkL,Undirected,Semester 3
mimo,pro3M,Undirected,Semester 3
mimo,rtL,Undirected,Semester 5
mimo,wueb,Undirected,Semester 5
mimo,thd3,Undirected,Semester 5
mimo,pro5M,Undirected,Semester 5
minat,mlam,Undirected,Gleiche Gruppe
minat,naku,Undirected,Semester 5
minat,npe,Undirected,Gleiche Gruppe
minat,tamp,Undirected,Gleiche Gruppe
minat,veva,Undirected,Semester 5
minat,vmo,Undirected,Gleiche Gruppe
minat,waem,Undirected,Semester 5
minat,rtL,Undirected,Semester 5
minat,wueb,Undirected,Semester 5
minat,thd3,Undirected,Semester 5
minat,pro5M,Undirected,Semester 5
mlam,naku,Undirected,Semester 5
mlam,npe,Undirected,Semester 3
mlam,tamp,Undirected,Gleiche Gruppe
mlam,veva,Undirected,Semester 5
mlam,vmo,Undirected,Gleiche Gruppe
mlam,waem,Undirected,Semester 5
mlam,wst,Undirected,Semester 3
mlam,werk3,Undirected,Semester 3
mlam,phwkL,Undirected,Semester 3
