Id,Label,Name,Gruppe,Semester
pro1M,pro1M,Projekt 1 Maschinenbau,Projekte: Maschinenbau,1
pro2M,pro2M,Projekt 2 Maschinenbau,Projekte: Maschinenbau,2
pro3M,pro3M,Projekt 3 Maschinenbau,Projekte: Maschinenbau,3
stk,stk,Statik,Grundlagen: Technische Mechanik,2
elstk,elstk,Elastostatik,Grundlagen: Technische Mechanik,3
kmk,kmk,Kinematik und Kinetik,Grundlagen: Technische Mechanik,3
pro4M,pro4M,Projekt 4 Maschinenbau,Projekte: Maschinenbau,4
fems,fems,FEM Simulation,Grundlagen: Labor,4
cfds,cfds,CFD Simulation,Grundlagen: Labor,4
pro5M,pro5M,Projekt 5 Maschinenbau,Projekte: Maschinenbau,5
pro6M,pro6M,Projekt 6 Maschinenbau (Bachelor Thesis),Projekte: Maschinenbau,6
afems,afems,Advanced FEM-Simulation,Fachergänzung: Maschinenbau,6
amp,amp,Additive Manufacturing Polymer,Fachergänzung: Maschinenbau,6
asimv,asimv,Advanced Simulation and Validation,Fachergänzung: Maschinenbau,6
c2ad,c2ad,Composite II - Advanced,Fachergänzung: Maschinenbau,6
cich,cich,Climate and Equality Challenge,Fachergänzung: Maschinenbau,3;5
dsf,dsf,Drones and Smart Farming,Fachergänzung: Maschinenbau,3;5
eeww,eeww,Erneuerbare Energien: Wind und Wasser,Fachergänzung: Maschinenbau,5
ekt,ekt,Energie- und Kerntechnik,Fachergänzung: Maschinenbau,5
enwi,enwi,Energiewirtschaft,Fachergänzung: Maschinenbau,3;5
fkte,fkte,Festkörpertechnologie,Fachergänzung: Maschinenbau,5
idacu,idacu,Industrial Acoustics with Lab,Fachergänzung: Maschinenbau,6
labvM,labvM,Labview,Fachergänzung: Maschinenbau,5
mantL,mantL,Lab Manufacturing Technology,Fachergänzung: Maschinenbau,6
mata,mata,"Materialwiederverwertung, Akzeptanz",Fachergänzung: Maschinenbau,3;5
matl,matl,MATLAB-Workshop,Fachergänzung: Maschinenbau,5
meas1,meas1,Mechatronische Systeme,Fachergänzung: Maschinenbau,5
mimo,mimo,Mikromobilität,Fachergänzung: Maschinenbau,3;5
minat,minat,Mikro- und Nanotechnik,Fachergänzung: Maschinenbau,5
mlam,mlam,Machine Learning Analyse von Messdaten,Fachergänzung: Maschinenbau,3;5
naku,naku,Nachhaltige Kunststofftechnik,Fachergänzung: Maschinenbau,5
npe,npe,Nachhaltige Produktentwicklung,Fachergänzung: Maschinenbau,3;5
tamp,tamp,Tech. Anwendung der modernen Physik,Fachergänzung: Maschinenbau,6
