Source,Target,Type,Label
afems,amp,Undirected,Gleiche Gruppe
afems,asimv,Undirected,Gleiche Gruppe
afems,c2ad,Undirected,Gleiche Gruppe
afems,cich,Undirected,Gleiche Gruppe
afems,dsf,Undirected,Gleiche Gruppe
afems,eeww,Undirected,Gleiche Gruppe
afems,ekt,Undirected,Gleiche Gruppe
afems,enwi,Undirected,Gleiche Gruppe
afems,fkte,Undirected,Gleiche Gruppe
afems,idacu,Undirected,Gleiche Gruppe
afems,labvM,Undirected,Gleiche Gruppe
afems,mantL,Undirected,Gleiche Gruppe
afems,mata,Undirected,Gleiche Gruppe
afems,matl,Undirected,Gleiche Gruppe
afems,meas1,Undirected,Gleiche Gruppe
afems,mimo,Undirected,Gleiche Gruppe
afems,minat,Undirected,Gleiche Gruppe
afems,mlam,Undirected,Gleiche Gruppe
afems,naku,Undirected,Gleiche Gruppe
afems,npe,Undirected,Gleiche Gruppe
afems,tamp,Undirected,Gleiche Gruppe
afems,veva,Undirected,Gleiche Gruppe
afems,vmo,Undirected,Gleiche Gruppe
afems,waem,Undirected,Gleiche Gruppe
amp,asimv,Undirected,Gleiche Gruppe
amp,c2ad,Undirected,Gleiche Gruppe
amp,cich,Undirected,Gleiche Gruppe
amp,dsf,Undirected,Gleiche Gruppe
amp,eeww,Undirected,Gleiche Gruppe
amp,ekt,Undirected,Gleiche Gruppe
amp,enwi,Undirected,Gleiche Gruppe
amp,fkte,Undirected,Gleiche Gruppe
amp,idacu,Undirected,Gleiche Gruppe
amp,labvM,Undirected,Gleiche Gruppe
amp,mantL,Undirected,Gleiche Gruppe
amp,mata,Undirected,Gleiche Gruppe
amp,matl,Undirected,Gleiche Gruppe
amp,meas1,Undirected,Gleiche Gruppe
amp,mimo,Undirected,Gleiche Gruppe
amp,minat,Undirected,Gleiche Gruppe
amp,mlam,Undirected,Gleiche Gruppe
amp,naku,Undirected,Gleiche Gruppe
amp,npe,Undirected,Gleiche Gruppe
amp,tamp,Undirected,Gleiche Gruppe
amp,veva,Undirected,Gleiche Gruppe
amp,vmo,Undirected,Gleiche Gruppe
amp,waem,Undirected,Gleiche Gruppe
asimv,c2ad,Undirected,Gleiche Gruppe
asimv,cich,Undirected,Gleiche Gruppe
asimv,dsf,Undirected,Gleiche Gruppe
asimv,eeww,Undirected,Gleiche Gruppe
asimv,ekt,Undirected,Gleiche Gruppe
asimv,enwi,Undirected,Gleiche Gruppe
asimv,fkte,Undirected,Gleiche Gruppe
asimv,idacu,Undirected,Gleiche Gruppe
asimv,labvM,Undirected,Gleiche Gruppe
asimv,mantL,Undirected,Gleiche Gruppe
asimv,mata,Undirected,Gleiche Gruppe
asimv,matl,Undirected,Gleiche Gruppe
asimv,meas1,Undirected,Gleiche Gruppe
asimv,mimo,Undirected,Gleiche Gruppe
asimv,minat,Undirected,Gleiche Gruppe
asimv,mlam,Undirected,Gleiche Gruppe
asimv,naku,Undirected,Gleiche Gruppe
