Source,Target,Type,Label
lalg1,mechM,Undirected,Semester 1
lalg1,werk1,Undirected,Semester 1
lalg1,pro1M,Undirected,Semester 1
lalg2,wus,Undirected,Semester 2
lalg2,wch,Undirected,Semester 2
lalg2,werk2,Undirected,Semester 2
lalg2,mel,Undirected,Semester 2
lalg2,stk,Undirected,Semester 2
lalg2,thdM,Undirected,Semester 2
lalg2,pro2M,Undirected,Semester 2
infM,lalg1,Undirected,Semester 1
infM,mechM,Undirected,Semester 1
infM,werk1,Undirected,Semester 1
infM,pro1M,Undirected,Semester 1
wst,wueb,Undirected,Semester 5
dan,rtL,Undirected,Semester 5
dan,wueb,Undirected,Semester 5
dan,thd3,Undirected,Semester 5
dan,flm3,Undirected,Semester 5
dan,dpev1,Undirected,Semester 5
dan,kt1,Undirected,Semester 5
dan,mant1,Undirected,Semester 5
dan,mea,Undirected,Semester 5
dan,minat,Undirected,Semester 5
dan,labvM,Undirected,Semester 5
dan,matl,Undirected,Semester 5
dan,ekt,Undirected,Semester 5
dan,eeww,Undirected,Semester 5
dan,waem,Undirected,Semester 5
dan,fkte,Undirected,Semester 5
dan,meas1,Undirected,Semester 5
dan,naku,Undirected,Semester 5
dan,veva,Undirected,Semester 5
dan,pro5M,Undirected,Semester 5
an1,lalg1,Undirected,Semester 1
an1,infM,Undirected,Semester 1
an1,mechM,Undirected,Semester 1
an1,ch1,Undirected,Semester 1
an1,werk1,Undirected,Semester 1
an1,hkon,Undirected,Semester 1
an1,pro1M,Undirected,Semester 1
an2,lalg2,Undirected,Semester 2
an2,wus,Undirected,Semester 2
an2,wch,Undirected,Semester 2
an2,werk2,Undirected,Semester 2
an2,mel,Undirected,Semester 2
an2,chkL,Undirected,Semester 2
an2,stk,Undirected,Semester 2
an2,thdM,Undirected,Semester 2
an2,pro2M,Undirected,Semester 2
dglM,wst,Undirected,Semester 3
dglM,elmag,Undirected,Semester 3
dglM,werk3,Undirected,Semester 3
dglM,phwkL,Undirected,Semester 3
dglM,elstk,Undirected,Semester 3
dglM,kmk,Undirected,Semester 3
dglM,flmM,Undirected,Semester 3
dglM,eltM,Undirected,Semester 3
dglM,dsf,Undirected,Semester 3
dglM,enwi,Undirected,Semester 3
dglM,mlam,Undirected,Semester 3
dglM,mata,Undirected,Semester 3
dglM,mimo,Undirected,Semester 3
dglM,npe,Undirected,Semester 3
dglM,pro3M,Undirected,Semester 3
man,num,Undirected,Semester 4
man,sww,Undirected,Semester 4
man,mst,Undirected,Semester 4
man,wkwkL,Undirected,Semester 4
man,md,Undirected,Semester 4
man,pro4M,Undirected,Semester 4
num,sww,Undirected,Semester 4
num,wkwkL,Undirected,Semester 4
num,pro4M,Undirected,Semester 4
mechM,werk1,Undirected,Semester 1
mechM,pro1M,Undirected,Semester 1
elmag,wst,Undirected,Semester 3
elmag,werk3,Undirected,Semester 3
elmag,phwkL,Undirected,Semester 3
elmag,elstk,Undirected,Semester 3
elmag,kmk,Undirected,Semester 3
elmag,flmM,Undirected,Semester 3
elmag,eltM,Undirected,Semester 3
elmag,enwi,Undirected,Semester 3
elmag,mlam,Undirected,Semester 3
elmag,mata,Undirected,Semester 3
elmag,mimo,Undirected,Semester 3
elmag,npe,Undirected,Semester 3
elmag,pro3M,Undirected,Semester 3
sww,wkwkL,Undirected,Semester 4
ch1,lalg1,Undirected,Semester 1
ch1,infM,Undirected,Semester 1
ch1,mechM,Undirected,Semester 1
ch1,werk1,Undirected,Semester 1
ch1,hkon,Undirected,Semester 1
ch1,pro1M,Undirected,Semester 1
wch,wus,Undirected,Semester 2
wch,werk2,Undirected,Semester 2
werk2,wus,Undirected,Semester 2
werk3,wst,Undirected,Semester 3
werk3,wkwkL,Undirected,Semester 4
hkon,lalg1,Undirected,Semester 1
hkon,infM,Undirected,Semester 1
hkon,mechM,Undirected,Semester 1
hkon,werk1,Undirected,Semester 1
hkon,pro1M,Undirected,Semester 1
mel,wus,Undirected,Semester 2
mel,wch,Undirected,Semester 2
mel,werk2,Undirected,Semester 2
mel,stk,Undirected,Semester 2
mel,thdM,Undirected,Semester 2
mel,pro2M,Undirected,Semester 2
chkL,lalg2,Undirected,Semester 2
chkL,wus,Undirected,Semester 2
chkL,wch,Undirected,Semester 2
chkL,werk2,Undirected,Semester 2
chkL,mel,Undirected,Semester 2
chkL,stk,Undirected,Semester 2
chkL,thdM,Undirected,Semester 2
chkL,pro2M,Undirected,Semester 2
phwkL,wst,Undirected,Semester 3
phwkL,werk3,Undirected,Semester 3
phwkL,pro3M,Undirected,Semester 3
mst,num,Undirected,Semester 4
mst,sww,Undirected,Semester 4
mst,wkwkL,Undirected,Semester 4
mst,pro4M,Undirected,Semester 4
fems,man,Undirected,Semester 4
fems,num,Undirected,Semester 4
fems,sww,Undirected,Semester 4
fems,mst,Undirected,Semester 4
fems,wkwkL,Undirected,Semester 4
fems,md,Undirected,Semester 4
fems,pro4M,Undirected,Semester 4
cfds,man,Undirected,Semester 4
cfds,num,Undirected,Semester 4
cfds,sww,Undirected,Semester 4
cfds,mst,Undirected,Semester 4
cfds,fems,Undirected,Semester 4
cfds,wkwkL,Undirected,Semester 4
cfds,md,Undirected,Semester 4
cfds,dms,Undirected,Semester 4
cfds,egts,Undirected,Semester 4
cfds,pro4M,Undirected,Semester 4
stk,wus,Undirected,Semester 2
stk,wch,Undirected,Semester 2
stk,werk2,Undirected,Semester 2
stk,thdM,Undirected,Semester 2
elstk,wst,Undirected,Semester 3
elstk,werk3,Undirected,Semester 3
elstk,phwkL,Undirected,Semester 3
elstk,kmk,Undirected,Semester 3
elstk,flmM,Undirected,Semester 3
elstk,eltM,Undirected,Semester 3
elstk,enwi,Undirected,Semester 3
elstk,mlam,Undirected,Semester 3
elstk,mata,Undirected,Semester 3
elstk,mimo,Undirected,Semester 3
elstk,npe,Undirected,Semester 3
elstk,pro3M,Undirected,Semester 3
kmk,wst,Undirected,Semester 3
kmk,werk3,Undirected,Semester 3
kmk,phwkL,Undirected,Semester 3
kmk,mlam,Undirected,Semester 3
kmk,mata,Undirected,Semester 3
kmk,mimo,Undirected,Semester 3
kmk,npe,Undirected,Semester 3
kmk,pro3M,Undirected,Semester 3
md,num,Undirected,Semester 4
md,sww,Undirected,Semester 4
md,mst,Undirected,Semester 4
md,wkwkL,Undirected,Semester 4
md,pro4M,Undirected,Semester 4
dms,man,Undirected,Semester 4
dms,num,Undirected,Semester 4
dms,sww,Undirected,Semester 4
dms,mst,Undirected,Semester 4
dms,fems,Undirected,Semester 4
dms,wkwkL,Undirected,Semester 4
dms,md,Undirected,Semester 4
dms,egts,Undirected,Semester 4
dms,pro4M,Undirected,Semester 4
thdM,wus,Undirected,Semester 2
thdM,wch,Undirected,Semester 2
thdM,werk2,Undirected,Semester 2
flmM,wst,Undirected,Semester 3
flmM,werk3,Undirected,Semester 3
flmM,phwkL,Undirected,Semester 3
flmM,kmk,Undirected,Semester 3
flmM,mlam,Undirected,Semester 3
flmM,mata,Undirected,Semester 3
flmM,mimo,Undirected,Semester 3
flmM,npe,Undirected,Semester 3
flmM,pro3M,Undirected,Semester 3
egts,man,Undirected,Semester 4
egts,num,Undirected,Semester 4
egts,sww,Undirected,Semester 4
egts,mst,Undirected,Semester 4
egts,fems,Undirected,Semester 4
egts,wkwkL,Undirected,Semester 4
egts,md,Undirected,Semester 4
egts,pro4M,Undirected,Semester 4
eltM,wst,Undirected,Semester 3
eltM,werk3,Undirected,Semester 3
eltM,phwkL,Undirected,Semester 3
eltM,kmk,Undirected,Semester 3
eltM,flmM,Undirected,Semester 3
eltM,enwi,Undirected,Semester 3
eltM,mlam,Undirected,Semester 3
eltM,mata,Undirected,Semester 3
eltM,mimo,Undirected,Semester 3
eltM,npe,Undirected,Semester 3
eltM,pro3M,Undirected,Semester 3
atL,man,Undirected,Semester 4
atL,num,Undirected,Semester 4
atL,sww,Undirected,Semester 4
atL,mst,Undirected,Semester 4
atL,fems,Undirected,Semester 4
atL,cfds,Undirected,Semester 4
atL,wkwkL,Undirected,Semester 4
atL,md,Undirected,Semester 4
atL,dms,Undirected,Semester 4
atL,egts,Undirected,Semester 4
atL,pro4M,Undirected,Semester 4
rtL,wueb,Undirected,Semester 5
rtL,thd3,Undirected,Semester 5
rtL,waem,Undirected,Semester 5
rtL,veva,Undirected,Semester 5
aem,dan,Undirected,Semester 5
aem,rtL,Undirected,Semester 5
aem,wueb,Undirected,Semester 5
aem,thd3,Undirected,Semester 5
aem,flm3,Undirected,Semester 5
aem,c1d,Undirected,Semester 5
aem,c1m,Undirected,Semester 5
aem,dpev1,Undirected,Semester 5
aem,kt1,Undirected,Semester 5
aem,mant1,Undirected,Semester 5
aem,am,Undirected,Semester 5
aem,mea,Undirected,Semester 5
aem,apd,Undirected,Semester 5
aem,minat,Undirected,Semester 5
aem,labvM,Undirected,Semester 5
aem,matl,Undirected,Semester 5
aem,ekt,Undirected,Semester 5
aem,eeww,Undirected,Semester 5
aem,waem,Undirected,Semester 5
aem,fkte,Undirected,Semester 5
aem,meas1,Undirected,Semester 5
aem,naku,Undirected,Semester 5
aem,veva,Undirected,Semester 5
aem,pro5M,Undirected,Semester 5
thd3,wueb,Undirected,Semester 5
thd3,waem,Undirected,Semester 5
thd3,veva,Undirected,Semester 5
flm3,rtL,Undirected,Semester 5
flm3,wueb,Undirected,Semester 5
flm3,thd3,Undirected,Semester 5
flm3,kt1,Undirected,Semester 5
flm3,mant1,Undirected,Semester 5
flm3,mea,Undirected,Semester 5
flm3,minat,Undirected,Semester 5
flm3,labvM,Undirected,Semester 5
flm3,matl,Undirected,Semester 5
flm3,waem,Undirected,Semester 5
flm3,meas1,Undirected,Semester 5
flm3,naku,Undirected,Semester 5
flm3,veva,Undirected,Semester 5
flm3,pro5M,Undirected,Semester 5
thd4,vmo,Undirected,Semester 6
flm4,thd4,Undirected,Semester 6
flm4,kt2,Undirected,Semester 6
flm4,mant2,Undirected,Semester 6
flm4,vmo,Undirected,Semester 6
flm4,idacu,Undirected,Semester 6
flm4,mantL,Undirected,Semester 6
flm4,tamp,Undirected,Semester 6
flm4,pro6M,Undirected,Semester 6
c1d,dan,Undirected,Semester 5
c1d,rtL,Undirected,Semester 5
c1d,wueb,Undirected,Semester 5
c1d,thd3,Undirected,Semester 5
c1d,flm3,Undirected,Semester 5
c1d,c1m,Undirected,Semester 5
c1d,dpev1,Undirected,Semester 5
c1d,kt1,Undirected,Semester 5
c1d,mant1,Undirected,Semester 5
c1d,mea,Undirected,Semester 5
c1d,minat,Undirected,Semester 5
c1d,labvM,Undirected,Semester 5
c1d,matl,Undirected,Semester 5
c1d,ekt,Undirected,Semester 5
c1d,eeww,Undirected,Semester 5
c1d,waem,Undirected,Semester 5
c1d,fkte,Undirected,Semester 5
c1d,meas1,Undirected,Semester 5
c1d,naku,Undirected,Semester 5
c1d,veva,Undirected,Semester 5
c1d,pro5M,Undirected,Semester 5
c1m,dan,Undirected,Semester 5
c1m,rtL,Undirected,Semester 5
c1m,wueb,Undirected,Semester 5
c1m,thd3,Undirected,Semester 5
c1m,flm3,Undirected,Semester 5
c1m,dpev1,Undirected,Semester 5
c1m,kt1,Undirected,Semester 5
c1m,mant1,Undirected,Semester 5
c1m,mea,Undirected,Semester 5
c1m,minat,Undirected,Semester 5
c1m,labvM,Undirected,Semester 5
c1m,matl,Undirected,Semester 5
c1m,ekt,Undirected,Semester 5
c1m,eeww,Undirected,Semester 5
c1m,waem,Undirected,Semester 5
c1m,fkte,Undirected,Semester 5
c1m,meas1,Undirected,Semester 5
c1m,naku,Undirected,Semester 5
c1m,veva,Undirected,Semester 5
c1m,pro5M,Undirected,Semester 5
dpev1,rtL,Undirected,Semester 5
dpev1,wueb,Undirected,Semester 5
dpev1,thd3,Undirected,Semester 5
dpev1,flm3,Undirected,Semester 5
dpev1,kt1,Undirected,Semester 5
dpev1,mant1,Undirected,Semester 5
dpev1,mea,Undirected,Semester 5
dpev1,minat,Undirected,Semester 5
dpev1,labvM,Undirected,Semester 5
dpev1,matl,Undirected,Semester 5
dpev1,ekt,Undirected,Semester 5
dpev1,eeww,Undirected,Semester 5
dpev1,waem,Undirected,Semester 5
dpev1,fkte,Undirected,Semester 5
dpev1,meas1,Undirected,Semester 5
dpev1,naku,Undirected,Semester 5
dpev1,veva,Undirected,Semester 5
dpev1,pro5M,Undirected,Semester 5
kt1,rtL,Undirected,Semester 5
kt1,wueb,Undirected,Semester 5
kt1,thd3,Undirected,Semester 5
kt1,mant1,Undirected,Semester 5
kt1,mea,Undirected,Semester 5
kt1,minat,Undirected,Semester 5
kt1,labvM,Undirected,Semester 5
kt1,matl,Undirected,Semester 5
kt1,waem,Undirected,Semester 5
kt1,meas1,Undirected,Semester 5
kt1,naku,Undirected,Semester 5
kt1,veva,Undirected,Semester 5
kt1,pro5M,Undirected,Semester 5
kt2,thd4,Undirected,Semester 6
kt2,mant2,Undirected,Semester 6
kt2,vmo,Undirected,Semester 6
kt2,mantL,Undirected,Semester 6
kt2,tamp,Undirected,Semester 6
kt2,pro6M,Undirected,Semester 6
dpev2,thd4,Undirected,Semester 6
dpev2,flm4,Undirected,Semester 6
dpev2,kt2,Undirected,Semester 6
dpev2,mant2,Undirected,Semester 6
dpev2,vmo,Undirected,Semester 6
dpev2,idacu,Undirected,Semester 6
dpev2,mantL,Undirected,Semester 6
dpev2,tamp,Undirected,Semester 6
dpev2,pro6M,Undirected,Semester 6
mant1,rtL,Undirected,Semester 5
mant1,wueb,Undirected,Semester 5
mant1,thd3,Undirected,Semester 5
mant1,mea,Undirected,Semester 5
mant1,minat,Undirected,Semester 5
mant1,matl,Undirected,Semester 5
mant1,waem,Undirected,Semester 5
mant1,meas1,Undirected,Semester 5
mant1,naku,Undirected,Semester 5
mant1,veva,Undirected,Semester 5
mant1,pro5M,Undirected,Semester 5
amat,thd4,Undirected,Semester 6
amat,flm4,Undirected,Semester 6
amat,kt2,Undirected,Semester 6
amat,dpev2,Undirected,Semester 6
amat,mant2,Undirected,Semester 6
amat,vmo,Undirected,Semester 6
amat,idacu,Undirected,Semester 6
amat,mantL,Undirected,Semester 6
amat,c2ad,Undirected,Semester 6
amat,asimv,Undirected,Semester 6
amat,tamp,Undirected,Semester 6
amat,amp,Undirected,Semester 6
amat,pro6M,Undirected,Semester 6
am,dan,Undirected,Semester 5
am,rtL,Undirected,Semester 5
am,wueb,Undirected,Semester 5
am,thd3,Undirected,Semester 5
am,flm3,Undirected,Semester 5
am,c1d,Undirected,Semester 5
am,c1m,Undirected,Semester 5
am,dpev1,Undirected,Semester 5
am,kt1,Undirected,Semester 5
am,mant1,Undirected,Semester 5
am,mea,Undirected,Semester 5
am,apd,Undirected,Semester 5
am,minat,Undirected,Semester 5
am,labvM,Undirected,Semester 5
am,matl,Undirected,Semester 5
am,ekt,Undirected,Semester 5
am,eeww,Undirected,Semester 5
am,waem,Undirected,Semester 5
am,fkte,Undirected,Semester 5
am,meas1,Undirected,Semester 5
am,naku,Undirected,Semester 5
am,veva,Undirected,Semester 5
am,pro5M,Undirected,Semester 5
mea,rtL,Undirected,Semester 5
mea,wueb,Undirected,Semester 5
mea,thd3,Undirected,Semester 5
